8 Acc LUA^ accX,9 Acc LUA^ accY,10 Acc LUA^ accZ
95.0,1013.0,17.0
125.0,998.0,39.0
143.0,1014.0,15.0
152.0,988.0,0.0
124.0,1025.0,0.0
106.0,1056.0,23.0
115.0,1079.0,51.0
125.0,1038.0,39.0
105.0,1018.0,30.0
89.0,994.0,50.0
126.0,1007.0,35.0
129.0,990.0,16.0
117.0,1006.0,53.0
94.0,996.0,48.0
105.0,1006.0,50.0
95.0,988.0,21.0
110.0,1009.0,36.0
113.0,994.0,49.0
132.0,1008.0,61.0
115.0,1044.0,33.0
143.0,997.0,41.0
122.0,999.0,41.0
116.0,1013.0,41.0
109.0,997.0,41.0
99.0,1005.0,39.0
131.0,1013.0,32.0
113.0,1052.0,42.0
132.0,1025.0,19.0
151.0,998.0,10.0
144.0,996.0,8.0
156.0,997.0,24.0
144.0,1000.0,22.0
143.0,1016.0,2.0
149.0,1013.0,47.0
162.0,1026.0,34.0
161.0,989.0,31.0
181.0,1006.0,20.0
141.0,985.0,52.0
146.0,965.0,36.0
147.0,951.0,39.0
136.0,969.0,52.0
137.0,990.0,-18.0
108.0,1014.0,-8.0
123.0,1018.0,-11.0
139.0,1078.0,-37.0
149.0,1095.0,-25.0
190.0,1073.0,-39.0
188.0,1061.0,-3.0
190.0,1040.0,-17.0
225.0,982.0,-10.0
237.0,970.0,-21.0
213.0,941.0,19.0
152.0,968.0,-20.0
143.0,998.0,1.0
180.0,1018.0,2.0
239.0,1049.0,5.0
227.0,1025.0,-14.0
222.0,960.0,40.0
196.0,987.0,5.0
193.0,984.0,8.0
158.0,1018.0,30.0
188.0,1030.0,56.0
262.0,989.0,79.0
248.0,975.0,50.0
177.0,1025.0,74.0
236.0,1003.0,130.0
256.0,917.0,227.0
309.0,910.0,63.0
333.0,883.0,51.0
314.0,886.0,83.0
322.0,919.0,134.0
298.0,906.0,105.0
286.0,946.0,91.0
276.0,949.0,97.0
238.0,963.0,90.0
266.0,973.0,52.0
281.0,993.0,49.0
248.0,1000.0,67.0
230.0,1005.0,80.0
229.0,964.0,60.0
203.0,924.0,81.0
176.0,927.0,104.0
224.0,878.0,114.0
177.0,855.0,136.0
189.0,1155.0,11.0
297.0,1199.0,203.0
392.0,1082.0,211.0
460.0,992.0,67.0
261.0,944.0,62.0
337.0,943.0,20.0
337.0,986.0,80.0
318.0,999.0,76.0
288.0,960.0,87.0
264.0,944.0,62.0
214.0,970.0,57.0
206.0,1003.0,91.0
250.0,1001.0,77.0
247.0,973.0,63.0
187.0,974.0,52.0
171.0,997.0,60.0
152.0,968.0,71.0
162.0,970.0,71.0
141.0,1007.0,46.0
160.0,1003.0,21.0
178.0,996.0,31.0
175.0,998.0,14.0
172.0,1009.0,10.0
153.0,1020.0,12.0
183.0,1025.0,24.0
196.0,1017.0,14.0
192.0,997.0,34.0
173.0,1036.0,4.0
205.0,1019.0,24.0
208.0,994.0,9.0
225.0,991.0,-2.0
228.0,968.0,0.0
238.0,950.0,0.0
208.0,923.0,11.0
233.0,916.0,8.0
201.0,802.0,56.0
169.0,1100.0,-13.0
292.0,1247.0,47.0
318.0,1070.0,264.0
439.0,972.0,40.0
267.0,919.0,32.0
228.0,940.0,-23.0
335.0,946.0,23.0
284.0,1016.0,34.0
276.0,987.0,53.0
241.0,961.0,40.0
244.0,957.0,44.0
257.0,984.0,10.0
220.0,969.0,70.0
209.0,952.0,40.0
188.0,1019.0,42.0
209.0,1011.0,42.0
233.0,1007.0,49.0
205.0,998.0,27.0
204.0,971.0,34.0
169.0,988.0,26.0
179.0,994.0,18.0
177.0,1008.0,26.0
191.0,1010.0,37.0
174.0,1006.0,40.0
180.0,990.0,4.0
158.0,1000.0,30.0
173.0,1008.0,61.0
201.0,1005.0,43.0
200.0,1016.0,20.0
218.0,986.0,10.0
212.0,979.0,10.0
224.0,971.0,37.0
199.0,951.0,17.0
200.0,966.0,31.0
254.0,887.0,38.0
204.0,769.0,109.0
152.0,1113.0,-32.0
291.0,1301.0,42.0
361.0,1043.0,332.0
472.0,995.0,70.0
273.0,946.0,37.0
271.0,901.0,25.0
349.0,955.0,28.0
262.0,998.0,58.0
257.0,959.0,101.0
236.0,958.0,59.0
208.0,929.0,42.0
200.0,953.0,36.0
213.0,958.0,23.0
197.0,994.0,60.0
152.0,1026.0,35.0
157.0,1012.0,33.0
159.0,1018.0,67.0
148.0,1005.0,32.0
161.0,992.0,47.0
159.0,1011.0,31.0
178.0,1016.0,17.0
173.0,1003.0,22.0
179.0,983.0,11.0
172.0,1049.0,9.0
189.0,1036.0,31.0
188.0,1006.0,20.0
151.0,1018.0,21.0
152.0,1022.0,32.0
152.0,1017.0,28.0
168.0,992.0,20.0
182.0,987.0,19.0
161.0,986.0,27.0
190.0,962.0,42.0
225.0,772.0,34.0
123.0,995.0,24.0
242.0,1470.0,-78.0
336.0,1085.0,355.0
400.0,902.0,181.0
360.0,915.0,-50.0
187.0,909.0,-15.0
309.0,921.0,-52.0
367.0,981.0,43.0
263.0,1013.0,70.0
251.0,959.0,73.0
190.0,944.0,49.0
182.0,973.0,23.0
183.0,998.0,28.0
209.0,1029.0,67.0
196.0,1001.0,73.0
170.0,994.0,39.0
158.0,940.0,43.0
171.0,960.0,-15.0
167.0,1020.0,-9.0
195.0,1032.0,40.0
185.0,1036.0,55.0
180.0,1026.0,31.0
181.0,1016.0,60.0
171.0,1016.0,61.0
162.0,1014.0,58.0
172.0,1008.0,30.0
170.0,1027.0,42.0
176.0,1019.0,26.0
210.0,1000.0,39.0
180.0,995.0,49.0
185.0,978.0,16.0
176.0,977.0,40.0
217.0,944.0,29.0
213.0,946.0,71.0
238.0,800.0,52.0
114.0,899.0,112.0
260.0,1449.0,-134.0
359.0,1172.0,311.0
472.0,906.0,244.0
331.0,787.0,40.0
134.0,841.0,-27.0
356.0,883.0,-61.0
399.0,999.0,-52.0
337.0,1018.0,31.0
278.0,986.0,46.0
158.0,1001.0,23.0
159.0,1000.0,28.0
135.0,975.0,50.0
151.0,995.0,49.0
163.0,997.0,59.0
163.0,983.0,66.0
134.0,975.0,77.0
105.0,1000.0,34.0
122.0,1024.0,49.0
142.0,1006.0,32.0
152.0,1026.0,51.0
152.0,1032.0,38.0
140.0,1005.0,20.0
123.0,1020.0,22.0
125.0,1022.0,33.0
124.0,1031.0,28.0
122.0,1025.0,37.0
108.0,1022.0,39.0
102.0,1036.0,49.0
88.0,1038.0,42.0
118.0,1040.0,60.0
116.0,1026.0,74.0
123.0,1012.0,64.0
107.0,995.0,44.0
129.0,1006.0,58.0
125.0,1005.0,62.0
125.0,1024.0,41.0
141.0,987.0,49.0
126.0,1007.0,32.0
145.0,1009.0,40.0
142.0,1019.0,47.0
140.0,978.0,39.0
136.0,1012.0,29.0
167.0,1000.0,51.0
185.0,988.0,43.0
168.0,1008.0,49.0
162.0,1019.0,37.0
154.0,1005.0,49.0
159.0,1016.0,52.0
163.0,999.0,42.0
169.0,1014.0,41.0
181.0,1007.0,41.0
171.0,1006.0,51.0
171.0,996.0,52.0
160.0,998.0,61.0
152.0,993.0,79.0
137.0,989.0,80.0
141.0,996.0,36.0
166.0,1001.0,54.0
157.0,1000.0,31.0
148.0,998.0,38.0
166.0,986.0,44.0
158.0,1002.0,67.0
162.0,990.0,65.0
175.0,1008.0,60.0
154.0,1010.0,61.0
160.0,988.0,61.0
171.0,978.0,51.0
152.0,997.0,51.0
143.0,988.0,52.0
142.0,1006.0,48.0
145.0,997.0,45.0
152.0,1022.0,60.0
156.0,1018.0,51.0
179.0,998.0,42.0
171.0,979.0,38.0
139.0,985.0,46.0
167.0,1004.0,24.0
179.0,1004.0,53.0
162.0,1002.0,53.0
162.0,979.0,19.0
148.0,985.0,33.0
140.0,963.0,-16.0
198.0,948.0,-11.0
170.0,968.0,-32.0
153.0,982.0,-40.0
162.0,1041.0,-28.0
161.0,1052.0,-23.0
164.0,1053.0,-29.0
169.0,1018.0,-43.0
143.0,997.0,-54.0
176.0,1005.0,-57.0
203.0,989.0,-108.0
203.0,982.0,-98.0
206.0,977.0,-141.0
201.0,1011.0,-113.0
228.0,995.0,-105.0
204.0,983.0,-130.0
207.0,997.0,-116.0
219.0,987.0,-72.0
209.0,997.0,-113.0
210.0,997.0,-119.0
219.0,995.0,-93.0
220.0,988.0,-117.0
198.0,995.0,-116.0
188.0,987.0,-100.0
210.0,999.0,-102.0
221.0,995.0,-106.0
233.0,997.0,-109.0
214.0,991.0,-106.0
222.0,979.0,-145.0
211.0,977.0,-110.0
207.0,976.0,-110.0
218.0,993.0,-96.0
210.0,998.0,-92.0
209.0,996.0,-72.0
219.0,1016.0,-81.0
226.0,986.0,-80.0
210.0,988.0,-71.0
216.0,1000.0,-70.0
201.0,1000.0,-70.0
225.0,988.0,-37.0
210.0,991.0,-46.0
193.0,981.0,-45.0
172.0,1002.0,-19.0
178.0,990.0,-35.0
179.0,1018.0,-29.0
189.0,1009.0,-20.0
175.0,983.0,9.0
184.0,1005.0,-6.0
201.0,988.0,-29.0
182.0,1005.0,-32.0
190.0,1016.0,-10.0
188.0,995.0,12.0
172.0,1002.0,4.0
166.0,1022.0,0.0
158.0,1006.0,23.0
184.0,1029.0,-5.0
186.0,1000.0,37.0
200.0,989.0,12.0
182.0,999.0,29.0
186.0,994.0,26.0
193.0,1004.0,10.0
181.0,999.0,25.0
196.0,989.0,38.0
193.0,984.0,44.0
173.0,989.0,37.0
170.0,968.0,91.0
181.0,1006.0,51.0
142.0,1008.0,72.0
144.0,1009.0,85.0
156.0,972.0,109.0
172.0,1021.0,62.0
170.0,1001.0,62.0
152.0,1021.0,46.0
152.0,1008.0,61.0
182.0,1005.0,71.0
202.0,1003.0,45.0
206.0,984.0,49.0
182.0,1008.0,43.0
150.0,997.0,54.0
184.0,967.0,71.0
190.0,977.0,54.0
217.0,986.0,21.0
200.0,997.0,20.0
203.0,987.0,9.0
228.0,997.0,11.0
227.0,997.0,8.0
213.0,994.0,-1.0
199.0,987.0,19.0
194.0,1000.0,28.0
185.0,1008.0,22.0
228.0,998.0,38.0
208.0,1003.0,42.0
208.0,993.0,35.0
189.0,991.0,34.0
185.0,998.0,58.0
191.0,996.0,54.0
190.0,988.0,41.0
181.0,996.0,69.0
181.0,1006.0,92.0
183.0,977.0,61.0
199.0,991.0,72.0
192.0,1003.0,72.0
197.0,984.0,98.0
194.0,988.0,82.0
206.0,983.0,73.0
184.0,978.0,59.0
200.0,998.0,61.0
217.0,1001.0,63.0
212.0,995.0,46.0
209.0,996.0,59.0
195.0,1004.0,56.0
187.0,992.0,47.0
207.0,984.0,80.0
209.0,1015.0,52.0
209.0,987.0,71.0
219.0,990.0,50.0
219.0,1015.0,52.0
219.0,993.0,64.0
220.0,985.0,51.0
229.0,974.0,39.0
208.0,982.0,57.0
205.0,985.0,45.0
203.0,995.0,62.0
214.0,1004.0,45.0
237.0,982.0,62.0
229.0,981.0,47.0
198.0,989.0,38.0
226.0,977.0,50.0
210.0,986.0,50.0
228.0,986.0,70.0
181.0,1016.0,71.0
210.0,985.0,82.0
197.0,991.0,76.0
204.0,1003.0,54.0
206.0,982.0,85.0
217.0,980.0,77.0
224.0,1008.0,67.0
202.0,1008.0,59.0
200.0,994.0,41.0
201.0,996.0,56.0
197.0,1003.0,47.0
209.0,1000.0,49.0
205.0,990.0,28.0
235.0,977.0,18.0
222.0,1002.0,20.0
210.0,998.0,49.0
190.0,987.0,61.0
227.0,997.0,61.0
184.0,1008.0,63.0
160.0,1013.0,68.0
170.0,993.0,65.0
206.0,1001.0,63.0
212.0,1004.0,42.0
216.0,1002.0,67.0
205.0,968.0,60.0
187.0,996.0,84.0
191.0,1004.0,69.0
198.0,976.0,90.0
180.0,1012.0,75.0
189.0,1001.0,88.0
190.0,979.0,75.0
199.0,977.0,61.0
200.0,987.0,51.0
209.0,1008.0,62.0
197.0,1010.0,70.0
195.0,980.0,45.0
224.0,1006.0,49.0
247.0,979.0,36.0
264.0,996.0,37.0
213.0,1005.0,68.0
186.0,1005.0,59.0
201.0,1005.0,93.0
196.0,1007.0,96.0
140.0,978.0,89.0
215.0,933.0,22.0
232.0,988.0,-9.0
315.0,974.0,22.0
289.0,966.0,71.0
219.0,1006.0,81.0
74.0,1025.0,151.0
114.0,988.0,86.0
188.0,952.0,38.0
291.0,995.0,-3.0
252.0,1005.0,67.0
212.0,1003.0,88.0
166.0,990.0,77.0
169.0,969.0,65.0
193.0,1007.0,31.0
195.0,1012.0,52.0
190.0,990.0,54.0
178.0,1001.0,58.0
183.0,980.0,75.0
180.0,985.0,87.0
182.0,996.0,94.0
162.0,997.0,81.0
162.0,996.0,122.0
174.0,975.0,111.0
203.0,972.0,110.0
209.0,1000.0,88.0
191.0,1007.0,77.0
204.0,998.0,74.0
202.0,989.0,78.0
167.0,1012.0,73.0
188.0,994.0,85.0
169.0,1007.0,77.0
185.0,987.0,86.0
185.0,1010.0,69.0
184.0,994.0,83.0
225.0,985.0,37.0
211.0,987.0,30.0
219.0,997.0,20.0
217.0,1006.0,43.0
191.0,994.0,47.0
197.0,992.0,51.0
168.0,1012.0,106.0
188.0,980.0,65.0
168.0,994.0,73.0
172.0,1009.0,73.0
175.0,990.0,91.0
178.0,983.0,108.0
164.0,1002.0,84.0
154.0,990.0,115.0
170.0,1015.0,112.0
185.0,992.0,80.0
192.0,994.0,101.0
189.0,989.0,82.0
209.0,978.0,81.0
200.0,996.0,73.0
212.0,967.0,101.0
213.0,978.0,80.0
190.0,963.0,95.0
203.0,958.0,88.0
214.0,960.0,78.0
211.0,972.0,88.0
207.0,982.0,82.0
243.0,987.0,70.0
208.0,982.0,65.0
178.0,977.0,52.0
179.0,1017.0,13.0
138.0,1024.0,35.0
126.0,1041.0,41.0
97.0,1036.0,77.0
95.0,1035.0,72.0
106.0,1024.0,31.0
123.0,1016.0,29.0
114.0,1031.0,11.0
112.0,1065.0,52.0
121.0,1026.0,55.0
126.0,1010.0,56.0
99.0,1023.0,31.0
116.0,1010.0,19.0
150.0,997.0,44.0
124.0,1008.0,26.0
103.0,1020.0,66.0
132.0,1025.0,32.0
138.0,965.0,58.0
147.0,1005.0,18.0
106.0,1019.0,27.0
151.0,987.0,51.0
171.0,1005.0,31.0
194.0,999.0,18.0
207.0,1027.0,27.0
199.0,1006.0,63.0
185.0,986.0,46.0
201.0,982.0,60.0
179.0,960.0,92.0
181.0,963.0,80.0
215.0,964.0,73.0
200.0,947.0,64.0
168.0,925.0,104.0
214.0,940.0,84.0
224.0,1016.0,82.0
204.0,1033.0,104.0
163.0,1037.0,91.0
190.0,997.0,131.0
151.0,1076.0,109.0
176.0,1087.0,62.0
197.0,1034.0,81.0
157.0,978.0,86.0
88.0,968.0,100.0
83.0,969.0,75.0
95.0,1001.0,62.0
97.0,1019.0,37.0
94.0,1030.0,66.0
127.0,999.0,31.0
95.0,990.0,37.0
128.0,1003.0,57.0
100.0,1022.0,40.0
151.0,1009.0,43.0
155.0,1005.0,21.0
143.0,1006.0,41.0
132.0,997.0,30.0
111.0,986.0,21.0
100.0,991.0,33.0
133.0,1020.0,27.0
92.0,1020.0,45.0
91.0,996.0,65.0
92.0,987.0,39.0
111.0,1003.0,58.0
142.0,1003.0,66.0
102.0,1016.0,71.0
81.0,1027.0,89.0
95.0,1022.0,109.0
94.0,1027.0,81.0
96.0,1000.0,92.0
86.0,1004.0,72.0
113.0,997.0,71.0
123.0,1008.0,62.0
114.0,1020.0,69.0
111.0,979.0,54.0
80.0,1010.0,99.0
78.0,1002.0,83.0
71.0,1007.0,88.0
88.0,1007.0,89.0
82.0,1019.0,102.0
76.0,1005.0,87.0
116.0,992.0,92.0
127.0,1015.0,63.0
114.0,1028.0,62.0
129.0,1008.0,66.0
134.0,1005.0,67.0
126.0,998.0,91.0
95.0,987.0,81.0
105.0,1007.0,72.0
106.0,1014.0,80.0
127.0,1008.0,74.0
118.0,1025.0,107.0
105.0,996.0,94.0
102.0,1007.0,82.0
90.0,1006.0,99.0
64.0,1009.0,94.0
90.0,1040.0,75.0
100.0,1003.0,100.0
107.0,1019.0,117.0
98.0,989.0,102.0
80.0,1009.0,104.0
119.0,1016.0,84.0
